,crp_id,direct_amount,direct_count,employee_amount,employee_count,id,name,total_amount,total_count
5,N00024978,0,0,53400.00,46,4d0cd2ebf7f24d608a88a805d449a78e,International Bancshares Corp,53400.00,46
6,N00024978,0,0,51900.00,24,c56fc88cb3d5408eb9b3293cc72a807e,Duty Free Americas,51900.00,24
7,N00024978,40000.00,10,10500.00,25,8cc7b9708fe643d6b58846f4d3f7dc89,USAA,50500.00,35
8,N00024978,48500.00,26,0,0,6a3bbf070609453f8cce1913d025d27a,Farm Credit Council,48500.00,26
9,N00024978,48211.00,20,0,0,4aa848e8a76d4fe4bb0e283485ff980f,Texas Farm Bureau,48211.00,20
0,N00027565,55000.00,11,0,0,675d2b4c5b9c4b4ebdce0770f3733472,Automotive Free International Trade PAC,55000.00,11
1,N00027565,50000.00,14,0,0,84c4c8704ef24193a4670c8a3aacb6bd,National Auto Dealers Assn,50000.00,14
2,N00027565,49900.00,24,0,0,e13e2512f89e4fff8cddd0f97b873ceb,American Institute of CPAs,49900.00,24
3,N00027565,49467.00,24,250.00,1,56c770dbbdcc4625b874b338dd37a993,PricewaterhouseCoopers,49717.00,25
4,N00027565,45500.00,22,0,0,d473e580c5684a658b754eb97566cb05,AT&T Inc,45500.00,22
5,N00027565,45000.00,24,0,0,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,45000.00,24
6,N00027565,0,0,44000.00,63,,Votesane PAC,44000.00,63
7,N00027565,41500.00,19,1250.00,2,653ea5cad97c456c8d48d468910e47db,Ernst & Young,42750.00,21
8,N00027565,41000.00,20,500.00,2,118654aa3f40449e94096a82882b19a0,KPMG LLP,41500.00,22
9,N00027565,0,0,41049.00,59,b12bdd0c8a49415d829732bd9cc8691b,Club for Growth,41049.00,59
0,N00027703,20000.00,10,31200.00,33,06d2d0dcdbda47e0bf2f37b835f6aed0,Comcast Corp,51200.00,43
1,N00027703,0,0,42150.00,44,73e0a1c42d1c498c90c478dd2f1796f7,Foley Law Firm,42150.00,44
2,N00027703,5000.00,2,36500.00,40,6637f7b07b194354a9883e00021df842,PMA Group,41500.00,42
3,N00027703,0,0,39100.00,56,dca1ab34f315427aa001ffe34afec212,ActBlue,39100.00,56
4,N00027703,27500.00,6,2000.00,1,0d4eebd7aefc499397ca188acf571499,AmeriPAC: The Fund for a Greater America,29500.00,7
5,N00027703,28000.00,14,0,0,4d3167b97c9f48deb433aad57bb0ee44,United Auto Workers,28000.00,14
6,N00027703,27500.00,10,0,0,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,27500.00,10
7,N00027703,26000.00,10,350.00,1,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,26350.00,11
8,N00027703,26000.00,8,0,0,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,26000.00,8
9,N00027703,25000.00,6,950.00,3,b91d64c85b1b43faa13b7abff81b7bc4,United Transportation Union,25950.00,9
0,N00027514,5000.00,1,63200.00,177,5e263a32710c45c5a83b3ba5ee2950c6,EMILY's List,68200.00,178
1,N00027514,45000.00,14,0,0,4703da042a7047eba2bdf4850105d6d6,National Beer Wholesalers Assn,45000.00,14
2,N00027514,45000.00,10,0,0,f89c8e3ab2b44f72971f91b764868231,Teamsters Union,45000.00,10
3,N00027514,45000.00,13,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,45000.00,13
4,N00027514,40000.00,18,0,0,593d2c24c2304df3b3c77f03ca8f90be,New York Life Insurance,40000.00,18
5,N00027514,39500.00,19,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,39500.00,19
6,N00027514,37500.00,11,0,0,076a3ff56eed4904b25d6781ed99c917,Operating Engineers Union,37500.00,11
7,N00027514,32000.00,15,2680.00,5,6cc1ce3fb2d64e77ad6db9057e4fe0c9,American Hospital Assn,34680.00,20
8,N00027514,31000.00,9,0,0,1bba6ae7847d4d849b1f5cdb3ad75b01,Ironworkers Union,31000.00,9
9,N00027514,29500.00,14,0,0,3e773ca970714f0e8dca350dbce74f14,American Optometric Assn,29500.00,14
0,N00026961,38000.00,18,1050.00,3,593d2c24c2304df3b3c77f03ca8f90be,New York Life Insurance,39050.00,21
1,N00026961,37500.00,26,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,37500.00,26
2,N00026961,37500.00,11,0,0,076a3ff56eed4904b25d6781ed99c917,Operating Engineers Union,37500.00,11
3,N00026961,36000.00,16,0,0,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,36000.00,16
4,N00026961,35000.00,11,250.00,1,e31bfef434e9470b9e473d6182f2d021,Service Employees International Union,35250.00,12
5,N00026961,33000.00,7,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,33000.00,7
6,N00026961,32500.00,20,0,0,1df6bba1eacb429d914630b767426d88,American Postal Workers Union,32500.00,20
7,N00026961,30500.00,13,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,30500.00,13
8,N00026961,29500.00,24,0,0,d473e580c5684a658b754eb97566cb05,AT&T Inc,29500.00,24
9,N00026961,29000.00,24,0,0,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,29000.00,24
0,N00003225,0,0,61600.00,31,,Professional Poker Player,61600.00,31
1,N00003225,31500.00,9,26050.00,29,7841a0bda43e474abcf3250127a66feb,FedEx Corp,57550.00,38
2,N00003225,46500.00,16,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,46500.00,16
3,N00003225,46000.00,16,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,46000.00,16
4,N00003225,42000.00,13,0,0,4d3167b97c9f48deb433aad57bb0ee44,United Auto Workers,42000.00,13
5,N00003225,40000.00,8,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,40000.00,8
6,N00003225,38000.00,15,0,0,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,38000.00,15
7,N00003225,36000.00,19,0,0,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,36000.00,19
8,N00003225,0,0,35200.00,18,1d1d4a84b7a94f18a2f18f9c36a3c59f,McVean Trading & Investments,35200.00,18
9,N00003225,35000.00,9,0,0,4817360e882848e6b6e236075db116a5,American Crystal Sugar,35000.00,9
10,N00003225,35000.00,13,0,0,4703da042a7047eba2bdf4850105d6d6,National Beer Wholesalers Assn,35000.00,13
0,N00024842,40000.00,37,83850.00,263,4438cca4c4ae4715b1bf348629b68cc0,General Dynamics,123850.00,300
1,N00024842,0,0,107863.00,111,52a8f5ae450f4507ab79f705c832a41f,Democratic Congressional Campaign Cmte,107863.00,111
2,N00024842,61000.00,23,2250.00,4,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,63250.00,27
3,N00024842,62000.00,20,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,62000.00,20
4,N00024842,42500.00,18,14650.00,23,73f5c6693a6949e4861ed516ddc505d2,United Technologies,57150.00,41
5,N00024842,0,0,57050.00,81,26ad4d002a7344c0bc2a2cc1587683d4,"Koskoff, Koskoff & Bieder",57050.00,81
6,N00024842,56000.00,20,950.00,4,4d3167b97c9f48deb433aad57bb0ee44,United Auto Workers,56950.00,24
7,N00024842,42356.00,22,14311.00,36,6650fac6bc474d4e8a9485fdbbda27ca,Pfizer Inc,56667.00,58
8,N00024842,56000.00,16,250.00,1,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,56250.00,17
9,N00024842,53000.00,23,0,0,1bba6ae7847d4d849b1f5cdb3ad75b01,Ironworkers Union,53000.00,23
0,N00027503,6500.00,4,137625.00,163,faf4219b8571448682cab3c4dd5365b9,Blank Rome LLP,144125.00,167
1,N00027503,19500.00,6,95156.00,119,63e18f2178f24c6c9ac2f94e143844b2,Reed Smith LLP,114656.00,125
2,N00027503,0,0,112050.00,118,5688ece1aa9c4f9db66eb5b5f0274591,"Goldberg, Persky & White",112050.00,118
3,N00027503,10000.00,9,96775.00,65,06d2d0dcdbda47e0bf2f37b835f6aed0,Comcast Corp,106775.00,74
4,N00027503,14447.00,16,89644.00,142,459afae3f7364c5faf30f3facdb9baab,"Buchanan, Ingersoll & Rooney",104091.00,158
5,N00027503,0,0,81525.00,71,7ec264d897de4e04bd287e79b10b1653,Stevens & Lee,81525.00,71
6,N00027503,0,0,74900.00,70,6b244fd72dcc4a83a51cab49dc2a106b,Berger & Montague,74900.00,70
7,N00027503,0,0,74760.00,120,bc62b82205ce458d9de9fbd837cc825f,Commonwealth of Pennsylvania,74760.00,120
8,N00027503,20000.00,9,52050.00,89,015a6a3bc96744c899aaa8040af3edd9,Pepper Hamilton LLP,72050.00,98
9,N00027503,0,0,69075.00,84,417f93a2e7ae4a0a8f9af9764330bda9,University of Pennsylvania,69075.00,84
0,N00027441,0,0,122655.00,162,30e34796b23c464a95be9ab8accd72a0,Miller & Martin,122655.00,162
1,N00027441,0,0,100900.00,42,a9ebac16625e4336ae50f16c1d1b814d,Powell Construction,100900.00,42
2,N00027441,25000.00,5,73500.00,36,7841a0bda43e474abcf3250127a66feb,FedEx Corp,98500.00,41
3,N00027441,0,0,89700.00,56,5b9309bdad9a408b9d099847641f661c,"Welsh, Carson et al",89700.00,56
4,N00027441,0,0,86350.00,87,d666eb2820f843d0b810462d8e6bd31f,Pilot Corp,86350.00,87
5,N00027441,10000.00,3,72450.00,75,d5ca86bb27b74efba2165f2f10c5ed42,Eastman Chemical,82450.00,78
6,N00027441,5500.00,5,68100.00,81,65806f47574c4862a2acd4fb660846a3,"Baker, Donelson et al",73600.00,86
7,N00027441,0,0,66200.00,33,,Aim Healthcare,66200.00,33
8,N00027441,12500.00,4,52000.00,40,bc1d056e59334c07bb0761b97efa64e4,JPMorgan Chase & Co,64500.00,44
9,N00027441,0,0,59910.00,49,76f9b4894cb5482694087ba7a15917d9,Pointer Management,59910.00,49
0,N00029513,0,0,48350.00,65,dca1ab34f315427aa001ffe34afec212,ActBlue,48350.00,65
1,N00029513,45000.00,11,0,0,82b6cbef5c8a447ea2c4b2fffba57d0e,United Food & Commercial Workers Union,45000.00,11
2,N00029513,45000.00,9,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,45000.00,9
3,N00029513,42500.00,10,0,0,425be85642b24cc2bc3d8a0bb3c7bc92,Sheet Metal Workers Union,42500.00,10
4,N00029513,8600.00,3,33400.00,33,1bafba39d8b44799aba07f1d1d532599,Ice Miller LLP,42000.00,36
5,N00029513,7000.00,7,33200.00,52,90e0a7078a0d4b72b78ecd84ff51605a,Barnes & Thornburg,40200.00,59
6,N00029513,40000.00,11,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,40000.00,11
7,N00029513,40000.00,8,0,0,a69a98684ce44d5385cfaff948b3c6eb,United Steelworkers,40000.00,8
8,N00029513,37000.00,20,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,37000.00,20
9,N00029513,35000.00,7,0,0,,Laborers Union/Midwest Region,35000.00,7
10,N00029513,35000.00,8,0,0,4d3167b97c9f48deb433aad57bb0ee44,United Auto Workers,35000.00,8
0,N00029680,0,0,83008.00,116,dca1ab34f315427aa001ffe34afec212,ActBlue,83008.00,116
1,N00029680,30000.00,6,0,0,b91d64c85b1b43faa13b7abff81b7bc4,United Transportation Union,30000.00,6
2,N00029680,25000.00,5,0,0,c869c8e293614e10960b2e77f5eabecd,Plumbers/Pipefitters Union,25000.00,5
3,N00029680,25000.00,6,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,25000.00,6
4,N00029680,25000.00,8,0,0,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,25000.00,8
5,N00029680,25000.00,5,0,0,0d4eebd7aefc499397ca188acf571499,AmeriPAC: The Fund for a Greater America,25000.00,5
6,N00029680,25000.00,5,0,0,1bba6ae7847d4d849b1f5cdb3ad75b01,Ironworkers Union,25000.00,5
7,N00029680,25000.00,5,0,0,d2ad660806744766b197dd41785443aa,International Assn of Fire Fighters,25000.00,5
8,N00029680,25000.00,7,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,25000.00,7
9,N00029680,9755.00,6,13500.00,15,430052c7198f4c199cf5a6b5e39bd539,Acadian Ambulance Service,23255.00,21
0,N00029692,32500.00,9,250.00,1,0d4eebd7aefc499397ca188acf571499,AmeriPAC: The Fund for a Greater America,32750.00,10
1,N00029692,0,0,30066.00,51,dca1ab34f315427aa001ffe34afec212,ActBlue,30066.00,51
2,N00029692,30000.00,8,0,0,2e2ee9e4d05246b48e84ce51357b17f4,Blue Dog PAC,30000.00,8
3,N00029692,25000.00,5,1000.00,1,24624d41234e41f180b9d65cdc77a678,National Cable & Telecommunications Assn,26000.00,6
4,N00029692,25000.00,5,0,0,3279fd8b285a4b42b19c080d8f8dcb44,BRIDGE PAC,25000.00,5
5,N00029692,25000.00,10,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,25000.00,10
6,N00029692,25000.00,5,0,0,7bbe1938680a411db1f29da2c0d1d714,PAC to the Future,25000.00,5
7,N00029692,25000.00,16,0,0,e08e4fb19d6e45358bd544c674ba573f,National Air Traffic Controllers Assn,25000.00,16
8,N00029692,0,0,23600.00,10,0e718c4b0c904a67a3e99d4f24214df7,Wax Co,23600.00,10
9,N00029692,20000.00,7,2000.00,3,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,22000.00,10
0,N00030245,0,0,85900.00,65,7be2a83378ae46488bbfa3ca908171b7,Cajun Industries,85900.00,65
1,N00030245,0,0,80900.00,46,3d076ace7cde471cad19fe6acdc945df,Edison Chouest Offshore,80900.00,46
2,N00030245,0,0,65933.00,43,585d2fcddc92459d965659b3cf025481,Mockler Beverage,65933.00,43
3,N00030245,0,0,56600.00,35,b290987c5d1c4b07ac244e5262404fa2,Hise Co,56600.00,35
4,N00030245,31000.00,11,20800.00,8,6aab47626721430cb16834a0e29bbcc6,Koch Industries,51800.00,19
5,N00030245,0,0,46600.00,24,9093b68f22444af0a01d66d176480c40,EMCO Technologies,46600.00,24
6,N00030245,0,0,45900.00,19,f8c8e395f18a4a449ea0a19b279762e5,Elliott Management,45900.00,19
7,N00030245,0,0,42150.00,30,665b55cb63de4a33aecbec93cc9142e4,Performance Contractors Inc,42150.00,30
8,N00030245,0,0,41000.00,24,,Republic Finance,41000.00,24
9,N00030245,40500.00,15,0,0,0bf8159bdec44c6d979ed529576a7c78,American Society of Anesthesiologists,40500.00,15
0,N00028958,0,0,63300.00,31,2dfbb762cc0f405d821ecfe6e76e4b4e,Nu Skin Enterprises,63300.00,31
1,N00028958,22900.00,14,29458.00,17,4acf0ec7e79549f4a4390aa52416346b,Zions Bancorp,52358.00,31
2,N00028958,32499.00,19,0,0,2d625ce311ff4aa091ae66f440c2a62f,Honeywell International,32499.00,19
3,N00028958,17500.00,6,14500.00,6,ad6cf173550743b595c24743184d2805,Merit Medical Systems,32000.00,12
4,N00028958,31500.00,16,250.00,1,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,31750.00,17
5,N00028958,30000.00,7,0,0,e2d995f524df4285ae25f40134da38aa,Every Republican is Crucial PAC,30000.00,7
6,N00028958,26000.00,15,0,0,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,26000.00,15
7,N00028958,26000.00,13,0,0,4703da042a7047eba2bdf4850105d6d6,National Beer Wholesalers Assn,26000.00,13
8,N00028958,26000.00,11,0,0,75d61655822e47778401453ff29ff4a7,Wine & Spirits Wholesalers of America,26000.00,11
9,N00028958,0,0,25600.00,15,4e651899451b428da5be3bfb1143c93d,Cancer Treatment Centers of America,25600.00,15
0,N00024753,0,0,77500.00,47,67a1b2aebcea4cac9106534dfd730bfc,"Bartlit, Beck et al",77500.00,47
1,N00024753,11000.00,7,37976.00,60,5157dce66d0440c58087a4fa9e5d1c40,"Brownstein, Hyatt et al",48976.00,67
2,N00024753,0,0,44000.00,25,,Heinle & Assoc,44000.00,25
3,N00024753,0,0,41800.00,24,,Land Title Guarantee Co,41800.00,24
4,N00024753,33000.00,25,8000.00,17,5516ba695ba741ab9f6ff35627621297,Lockheed Martin,41000.00,42
5,N00024753,20500.00,14,20050.00,24,ef389f39acc141b7a9b554048ae9d95d,CH2M HILL,40550.00,38
6,N00024753,40000.00,9,0,0,e2d995f524df4285ae25f40134da38aa,Every Republican is Crucial PAC,40000.00,9
7,N00024753,39000.00,18,0,0,84c4c8704ef24193a4670c8a3aacb6bd,National Auto Dealers Assn,39000.00,18
8,N00024753,3500.00,3,33900.00,16,a0febfe9e97747c3bcef7a5d3994e57d,Liberty Media,37400.00,19
9,N00024753,35000.00,23,0,0,2d625ce311ff4aa091ae66f440c2a62f,Honeywell International,35000.00,23
10,N00024753,34500.00,19,500.00,1,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,35000.00,20
0,N00029891,40000.00,11,34780.00,63,d1e0f5b2e4194ec1818307ee5ac47929,SAIC Inc,74780.00,74
1,N00029891,0,0,44549.00,59,bebcedf6c6a14d478017050a586abb76,Lerner Enterprises,44549.00,59
2,N00029891,40000.00,14,3500.00,6,d2ad660806744766b197dd41785443aa,International Assn of Fire Fighters,43500.00,20
3,N00029891,8500.00,5,34350.00,43,3f316295b1bc436f813923d592a67932,JStreetPAC,42850.00,48
4,N00029891,0,0,41415.00,50,021767d8416f4148b020e82198be1bc0,"Fairfax County, VA",41415.00,50
5,N00029891,0,0,41397.00,57,73377fc6d38e4999bfb4403069fccea5,ICF International,41397.00,57
6,N00029891,0,0,41240.00,33,a0d0dc37893d42eb9bf527ad32828a39,West Group Management,41240.00,33
7,N00029891,40000.00,17,0,0,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,40000.00,17
8,N00029891,30000.00,9,9500.00,11,22c6a2db10bf4890885352f7d2546a6f,New Democrat Coalition,39500.00,20
9,N00029891,36000.00,14,0,0,82b6cbef5c8a447ea2c4b2fffba57d0e,United Food & Commercial Workers Union,36000.00,14
0,N00030339,0,0,37200.00,27,3d076ace7cde471cad19fe6acdc945df,Edison Chouest Offshore,37200.00,27
1,N00030339,15000.00,4,0,0,e2d995f524df4285ae25f40134da38aa,Every Republican is Crucial PAC,15000.00,4
2,N00030339,15000.00,3,0,0,ae22b08efe0941d5921114eeb4465ffc,Freedom Project,15000.00,3
3,N00030339,15000.00,5,0,0,646b2f783c804f68aec8e4dfe33046de,Louisiana for American Security,15000.00,5
4,N00030339,4500.00,3,8150.00,11,184a198a224447b8bcfbd9ed2cb2618b,"Jones, Walker et al",12650.00,14
5,N00030339,0,0,12000.00,8,,Morris & Dickson,12000.00,8
6,N00030339,11000.00,9,0,0,493d8afc0d89419caa65cda8a3566b0e,Tuesday Group PAC,11000.00,9
7,N00030339,0,0,10650.00,19,4326614fea87489eaa1602e6b9c6c69f,Livingston Group,10650.00,19
8,N00030339,10000.00,2,500.00,1,593d2c24c2304df3b3c77f03ca8f90be,New York Life Insurance,10500.00,3
9,N00030339,10000.00,2,0,0,879eb037ded4459da072ad299bc8c416,Cmte for the Preservation of Capitalism,10000.00,2
10,N00030339,10000.00,4,0,0,1e980d24f6904d57878ae4253d074f53,Continuing a Majority Party Action Cmte,10000.00,4
11,N00030339,10000.00,4,0,0,2d625ce311ff4aa091ae66f440c2a62f,Honeywell International,10000.00,4
12,N00030339,10000.00,8,0,0,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,10000.00,8
13,N00030339,10000.00,3,0,0,24624d41234e41f180b9d65cdc77a678,National Cable & Telecommunications Assn,10000.00,3
0,N00030600,42500.00,12,250.00,1,e31bfef434e9470b9e473d6182f2d021,Service Employees International Union,42750.00,13
1,N00030600,40000.00,8,0,0,597f647e3b7540f3a0d02d6940c3a7de,Carpenters & Joiners Union,40000.00,8
2,N00030600,36000.00,11,0,0,1b8fea7e453d4e75841eac48ff9df550,National Education Assn,36000.00,11
3,N00030600,33500.00,8,0,0,f89c8e3ab2b44f72971f91b764868231,Teamsters Union,33500.00,8
4,N00030600,33500.00,12,0,0,82b6cbef5c8a447ea2c4b2fffba57d0e,United Food & Commercial Workers Union,33500.00,12
5,N00030600,32600.00,7,0,0,a69a98684ce44d5385cfaff948b3c6eb,United Steelworkers,32600.00,7
6,N00030600,32500.00,12,0,0,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,32500.00,12
7,N00030600,32100.00,8,0,0,1bba6ae7847d4d849b1f5cdb3ad75b01,Ironworkers Union,32100.00,8
8,N00030600,32000.00,16,0,0,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,32000.00,16
9,N00030600,30000.00,8,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,30000.00,8
0,N00032014,0,0,50499.00,37,,Mepco LLC,50499.00,37
1,N00032014,0,0,44100.00,22,9e6faaf98a13401aa99f1b91b2d85389,Progeny Systems,44100.00,22
2,N00032014,25000.00,8,11050.00,27,5e2b0c75f7ac4ce4bb1d021da44c3e5e,BAE Systems,36050.00,35
3,N00032014,21000.00,10,9400.00,7,93d723231bec403c9b88d4a0c5260959,Boeing Co,30400.00,17
4,N00032014,0,0,30350.00,36,8bcd3530712948d09283fc2bcfdaa8df,Concurrent Technologies,30350.00,36
5,N00032014,0,0,28650.00,48,,Concurrent Technologies Corp,28650.00,48
6,N00032014,0,0,26650.00,12,,JWF Industries,26650.00,12
7,N00032014,25000.00,6,250.00,1,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,25250.00,7
8,N00032014,25000.00,6,0,0,1df6bba1eacb429d914630b767426d88,American Postal Workers Union,25000.00,6
9,N00032014,25000.00,10,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,25000.00,10
10,N00032014,25000.00,6,0,0,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,25000.00,6
11,N00032014,25000.00,5,0,0,0d4eebd7aefc499397ca188acf571499,AmeriPAC: The Fund for a Greater America,25000.00,5
12,N00032014,25000.00,6,0,0,3279fd8b285a4b42b19c080d8f8dcb44,BRIDGE PAC,25000.00,6
13,N00032014,25000.00,5,0,0,d2ad660806744766b197dd41785443aa,International Assn of Fire Fighters,25000.00,5
14,N00032014,25000.00,7,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,25000.00,7
15,N00032014,25000.00,5,0,0,68f73188dbf44f049e9138e0c0a54a2c,Machinists/Aerospace Workers Union,25000.00,5
16,N00032014,25000.00,8,0,0,390767dc6b4b491ca775b1bdf8a36eea,National Assn of Letter Carriers,25000.00,8
17,N00032014,25000.00,6,0,0,1b8fea7e453d4e75841eac48ff9df550,National Education Assn,25000.00,6
18,N00032014,25000.00,5,0,0,7bbe1938680a411db1f29da2c0d1d714,PAC to the Future,25000.00,5
19,N00032014,25000.00,7,0,0,ec3978566d134a1fbcec714cd2188a14,Painters & Allied Trades Union,25000.00,7
20,N00032014,25000.00,5,0,0,e31bfef434e9470b9e473d6182f2d021,Service Employees International Union,25000.00,5
21,N00032014,25000.00,7,0,0,f89c8e3ab2b44f72971f91b764868231,Teamsters Union,25000.00,7
22,N00032014,25000.00,6,0,0,d431418046fd443d9d9727ffd5136321,Transport Workers Union,25000.00,6
23,N00032014,25000.00,6,0,0,4d3167b97c9f48deb433aad57bb0ee44,United Auto Workers,25000.00,6
24,N00032014,25000.00,6,0,0,82b6cbef5c8a447ea2c4b2fffba57d0e,United Food & Commercial Workers Union,25000.00,6
25,N00032014,25000.00,6,0,0,a69a98684ce44d5385cfaff948b3c6eb,United Steelworkers,25000.00,6
26,N00032014,25000.00,11,0,0,52e6229bd1fe4b7c86c1d09bd98ddc64,United Mine Workers of America,25000.00,11
0,N00026722,5000.00,1,36050.00,24,c6c1d60711304531bd19c76534e531ea,WellMed Medical Management,41050.00,25
1,N00026722,5000.00,1,36050.00,24,e580a04514d84974ac9139cc7db6d0ff,Wellmed Medical Management,41050.00,25
2,N00026722,10000.00,2,29250.00,22,8cc7b9708fe643d6b58846f4d3f7dc89,USAA,39250.00,24
3,N00026722,0,0,33800.00,20,a9b47bdc4c0b405eaf2fdc5d942b8a93,Tetco Inc,33800.00,20
4,N00026722,12500.00,4,17200.00,25,b4e2fbe154dc4b3eae34cb83e1dca16f,Rent-A-Center,29700.00,29
5,N00026722,21000.00,11,5250.00,3,5e07eb2f5009441dbef9de1fa52dc06f,Nustar Energy,26250.00,14
6,N00026722,25000.00,6,0,0,593d2c24c2304df3b3c77f03ca8f90be,New York Life Insurance,25000.00,6
7,N00026722,0,0,20500.00,14,c19c395517f14097b627105df41cdea5,Rush Enterprises,20500.00,14
8,N00026722,0,0,19700.00,11,847e06b58b4940ccadfb7389c957fa99,Jackson Walker LLP,19700.00,11
9,N00026722,0,0,19400.00,11,1e38bb2a6883439c9a9aa7ded13c31bc,Republic National Distributing,19400.00,11
0,N00030736,0,0,111360.00,169,91ab55b148364482882f0446f0ba9ab4,"Young, Conaway et al",111360.00,169
1,N00030736,0,0,62850.00,89,35ec42bae20c4026bdecd59d84fd8af1,"Morris, Nichols et al",62850.00,89
2,N00030736,4500.00,2,45640.00,67,cbd37e723d4647029c7add1e3ee6d7b9,"Skadden, Arps et al",50140.00,69
3,N00030736,28500.00,19,8500.00,11,878b4d98431344de88d8fb9757043a95,Bank of America,37000.00,30
4,N00030736,22500.00,14,14400.00,11,329c4520cfbe49d098fb3b26aee07fe3,General Electric,36900.00,25
5,N00030736,0,0,35475.00,65,40cd56b272ef4bf08e75978990485192,"Richards, Layton & Finger",35475.00,65
6,N00030736,29900.00,14,0,0,02f2ab4c502e4a789e7e36fec37afb04,AstraZeneca Pharmaceuticals,29900.00,14
7,N00030736,6350.00,6,21990.00,43,3046b5830c974fd6b090816aa2b91cb5,"Drinker, Biddle & Reath",28340.00,49
8,N00030736,0,0,27745.00,71,975aac24a398427f901bedfce8ae1d73,State of Delaware,27745.00,71
9,N00030736,0,0,27450.00,37,4ccb67c610cf46f097a666e6d290a012,AstraZeneca PLC,27450.00,37
0,N00032019,0,0,58500.00,27,,Waterson Terminal Services,58500.00,27
1,N00032019,0,0,41950.00,57,795d11f28c824ee4ae93fa12add94230,B&D Holding Di Marco Drago e C Sapa,41950.00,57
2,N00032019,0,0,40800.00,49,6469f318f2314baa855536eb9a74d665,Gilbane Inc,40800.00,49
3,N00032019,0,0,30354.00,20,7f746520e396444dac57d05100f8baa7,Capitol City Group,30354.00,20
4,N00032019,30000.00,13,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,30000.00,13
5,N00032019,29000.00,7,0,0,6f6d63baaa6c4f5c9c739596e65b020e,Laborers Union,29000.00,7
6,N00032019,27500.00,6,0,0,82b6cbef5c8a447ea2c4b2fffba57d0e,United Food & Commercial Workers Union,27500.00,6
7,N00032019,25000.00,5,1500.00,2,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,26500.00,7
8,N00032019,26000.00,12,0,0,9277d93994164d9ebac8fe4e85237acf,Council of Insurance Agents & Brokers,26000.00,12
9,N00032019,23499.00,11,2000.00,7,a280dccfdac6477a9b2a03314511d193,Raytheon Co,25499.00,18
0,N00031945,0,0,20800.00,23,83d4f4493d3043348b224a207b70de01,Total Health Care,20800.00,23
1,N00031945,17000.00,5,0,0,b7ddb5ace94e40fe83f74718c48c3e98,UNITE HERE,17000.00,5
2,N00031945,17000.00,5,0,0,49ce533860d54e448afbb0399ba72ed8,UNITE HERE,17000.00,5
3,N00031945,0,0,15700.00,9,,National Marine Consultants Inc,15700.00,9
